id,daily_term,legal_term,relation_type,domain,priority,raw_data,created_at,updated_at
932,언제 성립,대금 지급,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
933,계약 성립,매매의 의의,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
934,계약 성립,재산권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
935,계약 성립,대금 지급,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
936,매매계약 성립,매매의 의의,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
937,매매계약 성립,재산권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
938,매매계약 성립,대금 지급,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
939,매매대금,매매의 의의,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
940,매매대금,대금 지급,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
941,매매대금,재산권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
